Designator,Mid X,Mid Y,Rotation,Layer
C1,93.2,-80.8,225.0,bottom
C10,131.1,-69.25,270.0,bottom
C11,136.05,-69.1,270.0,bottom
C12,139.95,-67.92,90.0,bottom
C13,111.15,-74.95,90.0,bottom
C14,113.45,-78.63,270.0,bottom
C15,122.53,-77.95,0.0,bottom
C16,126.75,-77.9,0.0,bottom
C17,131.95,-79.65,90.0,bottom
C18,137.95,-79.65,90.0,bottom
C19,107.1,-82.7,0.0,bottom
C2,116.7,-66.4,270.0,bottom
C20,118.2,-80.9,180.0,bottom
C21,118.8,-86.15,0.0,bottom
C22,127.2,-84.3,90.0,bottom
C23,133.7,-85.15,90.0,bottom
C24,134.7,-85.13,90.0,bottom
C25,109.7,-93.65,90.0,bottom
C26,114.45,-94.4,270.0,bottom
C27,119.6,-94.4,270.0,bottom
C28,124.1,-94.75,90.0,bottom
C29,128.95,-94.75,90.0,bottom
C3,121.5,-64.9,270.0,bottom
C30,133.55,-94.9,270.0,bottom
C31,108.9,-100.18,90.0,bottom
C32,115.95,-102.3,270.0,bottom
C33,120.65,-102.35,270.0,bottom
C34,124.2,-101.0,270.0,bottom
C35,128.9,-101.55,270.0,bottom
C36,133.45,-101.45,270.0,bottom
C37,77.060589,-73.739411,135.0,bottom
C38,81.8,-78.6,225.0,bottom
C39,77.8,-74.5,135.0,bottom
C4,126.2,-64.9,270.0,bottom
C40,94.45,-76.8,135.0,bottom
C41,96.3,-77.75,135.0,bottom
C42,81.9,-74.4,45.0,bottom
C43,92.4,-81.5,225.0,bottom
C44,75.8,-73.2,135.0,bottom
C45,111.785,-65.5675,270.0,bottom
C5,130.95,-65.15,270.0,bottom
C6,135.75,-64.95,270.0,bottom
C7,116.4,-69.38,270.0,bottom
C8,121.3,-69.55,270.0,bottom
C9,126.2,-69.4,270.0,bottom
D1,118.365,-74.435,0.0,top
D10,124.365,-77.435,0.0,top
D11,127.365,-77.435,0.0,top
D12,130.365,-77.435,0.0,top
D13,115.365,-80.435,180.0,top
D14,118.365,-80.435,180.0,top
D15,121.365,-80.435,0.0,top
D16,124.365,-80.435,180.0,top
D17,127.365,-80.435,180.0,top
D18,130.365,-80.435,180.0,top
D19,115.365,-83.435,0.0,top
D2,75.143153,-80.956847,135.0,bottom
D20,118.365,-83.435,0.0,top
D21,121.365,-83.435,180.0,top
D22,124.365,-83.435,180.0,top
D23,127.365,-83.435,0.0,top
D24,130.365,-83.435,0.0,top
D25,115.365,-86.435,180.0,top
D26,118.365,-86.435,180.0,top
D27,121.365,-86.435,180.0,top
D28,124.365,-86.435,180.0,top
D29,127.365,-86.435,180.0,top
D3,121.365,-74.435,0.0,top
D30,130.365,-86.435,180.0,top
D31,115.365,-89.435,180.0,top
D32,118.365,-89.435,180.0,top
D33,121.365,-89.435,180.0,top
D34,124.365,-89.435,180.0,top
D35,127.365,-89.435,180.0,top
D36,130.365,-89.435,180.0,top
D37,83.0,-71.4,135.0,bottom
D38,76.8,-82.6,135.0,bottom
D39,96.0,-69.7,315.0,bottom
D4,124.365,-74.435,0.0,top
D40,115.365,-74.435,0.0,top
D5,127.365,-74.435,0.0,top
D6,130.365,-74.435,0.0,top
D7,115.365,-77.435,0.0,top
D8,118.365,-77.435,0.0,top
D9,121.365,-77.435,0.0,top
J1,71.5,-60.0,45.0,top
J2,93.93,-63.0,90.0,top
R1,77.3,-78.8,315.0,bottom
R10,130.95,-63.15,270.0,bottom
R11,135.71,-61.4,0.0,bottom
R12,135.7,-62.9,270.0,bottom
R13,113.8,-68.45,180.0,bottom
R14,116.55,-71.4,90.0,bottom
R15,119.3,-68.45,180.0,bottom
R16,121.3,-71.5,90.0,bottom
R17,125.25,-67.55,180.0,bottom
R18,126.15,-71.4,90.0,bottom
R19,128.9,-68.2,180.0,bottom
R2,79.0,-80.4,315.0,bottom
R20,130.85,-71.55,90.0,bottom
R21,134.0,-67.7,180.0,bottom
R22,135.85,-71.2,90.0,bottom
R23,137.95,-67.95,90.0,bottom
R24,140.45,-69.91,90.0,bottom
R25,111.4,-69.8,180.0,bottom
R26,110.15,-74.95,270.0,bottom
R27,112.95,-76.15,0.0,bottom
R28,112.45,-77.8,270.0,bottom
R29,119.95,-77.9,0.0,bottom
R3,118.75,-61.5,90.0,bottom
R30,123.95,-77.45,270.0,bottom
R31,119.2,-79.4,90.0,bottom
R32,127.7,-76.95,0.0,bottom
R33,127.3,-82.15,270.0,bottom
R34,132.95,-79.64,270.0,bottom
R35,132.7,-81.65,0.0,bottom
R36,138.95,-79.65,270.0,bottom
R37,113.25,-82.25,180.0,bottom
R38,107.1,-83.7,180.0,bottom
R39,113.75,-84.4,270.0,bottom
R4,116.7,-63.9,270.0,bottom
R40,119.2,-82.39,90.0,bottom
R41,122.25,-87.1,180.0,bottom
R42,118.75,-87.15,180.0,bottom
R43,127.65,-85.95,180.0,bottom
R44,128.4,-84.45,270.0,bottom
R45,131.9,-88.15,270.0,bottom
R46,133.7,-87.15,90.0,bottom
R47,139.3,-84.4,90.0,bottom
R48,134.7,-87.15,90.0,bottom
R49,111.7,-96.4,0.0,bottom
R5,121.95,-61.4,0.0,bottom
R50,109.7,-95.65,90.0,bottom
R51,114.95,-96.65,0.0,bottom
R52,114.95,-92.39,270.0,bottom
R53,119.46,-96.4,0.0,bottom
R54,119.6,-92.4,270.0,bottom
R55,124.45,-96.4,0.0,bottom
R56,124.2,-92.4,270.0,bottom
R57,128.95,-96.4,0.0,bottom
R58,128.85,-92.85,270.0,bottom
R59,133.95,-96.4,0.0,bottom
R6,121.45,-62.9,270.0,bottom
R60,133.55,-92.7,270.0,bottom
R61,114.95,-100.15,90.0,bottom
R62,110.0,-100.14,270.0,bottom
R63,119.55,-100.15,90.0,bottom
R64,117.45,-102.05,0.0,bottom
R65,124.2,-99.1,270.0,bottom
R66,122.11,-101.85,0.0,bottom
R67,128.85,-99.65,270.0,bottom
R68,126.0,-101.9,0.0,bottom
R69,133.35,-99.55,270.0,bottom
R7,126.45,-61.4,0.0,bottom
R70,130.35,-102.0,0.0,bottom
R71,139.65,-98.7,90.0,bottom
R72,135.0,-101.85,0.0,bottom
R73,93.8,-71.9,135.0,bottom
R74,77.4,-70.9,315.0,top
R75,79.2,-69.2,315.0,top
R76,80.7,-67.7,315.0,top
R77,82.5,-66.0,315.0,top
R78,113.8,-61.5,90.0,bottom
R79,116.45,-61.9,0.0,bottom
R8,126.2,-62.9,270.0,bottom
R9,130.7,-61.4,0.0,bottom
U1,79.985786,-76.170711,135.0,bottom
U10,128.7,-70.9,0.0,bottom
U11,133.45,-70.9,0.0,bottom
U12,138.2,-70.9,0.0,bottom
U13,109.95,-77.9,0.0,bottom
U14,115.75,-77.9,0.0,bottom
U15,121.4,-80.4,0.0,bottom
U16,125.15,-80.4,180.0,bottom
U17,129.6,-80.4,180.0,bottom
U18,135.5975,-80.4,180.0,bottom
U19,109.95,-83.9,0.0,bottom
U2,119.2,-64.4,0.0,bottom
U20,115.95,-83.9,0.0,bottom
U21,121.45,-84.65,180.0,bottom
U22,124.95,-84.65,180.0,bottom
U23,131.45,-85.15,180.0,bottom
U24,136.95,-84.65,180.0,bottom
U25,112.3025,-93.9,180.0,bottom
U26,117.3475,-93.9,180.0,bottom
U27,121.95,-93.9,180.0,bottom
U28,126.7,-93.9,180.0,bottom
U29,131.15,-93.9,180.0,bottom
U3,123.7,-64.4,0.0,bottom
U30,135.7,-93.9,180.0,bottom
U31,112.24,-99.4,180.0,bottom
U32,117.2,-99.4,180.0,bottom
U33,121.8475,-99.4,180.0,bottom
U34,126.7,-99.4,180.0,bottom
U35,131.2,-99.4,180.0,bottom
U36,135.7,-99.4,180.0,bottom
U37,88.4,-76.8,315.0,bottom
U38,114.1375,-64.4,0.0,bottom
U4,128.45,-64.4,0.0,bottom
U5,133.45,-64.4,0.0,bottom
U6,137.95,-64.4,0.0,bottom
U7,114.0525,-70.9,0.0,bottom
U8,118.95,-70.9,0.0,bottom
U9,123.95,-70.9,0.0,bottom
